| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 12.8               |
| 7-11 years  | 10.2               |
| 12-17 years | 9.6                |
| 18-24 years | 9.5                |
| 25-34 years | 9.6                |
| 35-44 years | 9.2                |
| 45-54 years | 10.3               |
| 55-64 years | 11.8               |
| 65-74 years | 13.6               |
