Age,"Standard deviation"
"7-74 years",13.3
"7-11 years",9.8
"12-17 years",9.8
"18-24 years",9.9
"25-34 years",10.9
"35-44 years",10.2
"45-54 years",12.9
"55-64 years",12.1
"65-74 years",13.7
