| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 22.6               |
| 7-11 years  | 10.2               |
| 12-17 years | 13.2               |
| 18-24 years | 11.8               |
| 25-34 years | 14.5               |
| 35-44 years | 18.4               |
| 45-54 years | 21.5               |
| 55-64 years | 29.6               |
| 65-74 years | 24.2               |
