Age,"Standard deviation"
"7-74 years",19.6
"7-11 years",10.7
"12-17 years",13.2
"18-24 years",12.3
"25-34 years",13.2
"35-44 years",17.1
"45-54 years",20
"55-64 years",19
"65-74 years",24.1
