| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 21.2               |
| 7-11 years  | 10.5               |
| 12-17 years | 13.3               |
| 18-24 years | 12.6               |
| 25-34 years | 14.6               |
| 35-44 years | 18                 |
| 45-54 years | 20.8               |
| 55-64 years | 24.7               |
| 65-74 years | 24.3               |
