| Age    | Mean |
| ------ | ---- |
| 3m–5m  | 10.4 |
| 6m–8m  | 9.9  |
| 9m–11m | 9.6  |
| 1      | 9.7  |
| 2      | 9.5  |
| 3      | 9.7  |
| 4      | 10.3 |
| 5      | 10.3 |
| 6      | 10.3 |
| 7      | 11.9 |
| 8      | 12.4 |
| 9      | 14.4 |
| 10     | 15   |
| 11     | 15.1 |
| 12     | 15.2 |
| 13     | 17.5 |
| 14     | 18.7 |
| 15     | 17.8 |
| 16     | 18.6 |
| 17     | 20   |
| 18     | 19.4 |
| 19     | 19.6 |
| 20+    | 23.5 |
| 20–29  | 20.9 |
| 30–39  | 23.6 |
| 40–49  | 25.3 |
| 50–59  | 26.7 |
| 60–69  | 24.2 |
| 70–79  | 22.3 |
| 80+    | 18.6 |
