Age,Mean
"3–5 months",10.4
"6–8 months",9.9
"9–11 months",9.6
"1 year",9.7
"2 years",9.5
"3 years",9.7
"4 years",10.3
"5 years",10.3
"6 years",10.3
"7 years",11.9
"8 years",12.4
"9 years",14.4
"10 years",15
"11 years",15.1
"12 years",15.2
"13 years",17.5
"14 years",18.7
"15 years",17.8
"16 years",18.6
"17 years",20
"18 years",19.4
"19 years",19.6
"20 years and older",23.5
"20–29 years",20.9
"30–39 years",23.6
"40–49 years",25.3
"50–59 years",26.7
"60–69 years",24.2
"70–79 years",22.3
"80 years and older",18.6
