Age,Mean
"3–5 months",10.5
"6–8 months",10.2
"9–11 months",9.5
"1 year",9.4
"2 years",9.1
"3 years",8.9
"4 years",9
"5 years",8.7
"6 years",9.8
"7 years",9.7
"8 years",10.8
"9 years",12.4
"10 years",12.5
"11 years",13.6
"12 years",13.5
"13 years",12.4
"14 years",11
"15 years",12.1
"16 years",11.1
"17 years",11.3
"18 years",10.9
"19 years",12.1
"20 years and older",13.1
"20–29 years",12
"30–39 years",13
"40–49 years",13.5
"50–59 years",13.7
"60–69 years",14.2
"70–79 years",13.4
"80 years and older",12
