Age,"Standard deviation"
"7-74 years",13.2
"7-11 years",9.1
"12-17 years",9.2
"18-24 years",9
"25-34 years",9.3
"35-44 years",11.4
"45-54 years",13
"55-64 years",12.1
"65-74 years",13.2
