| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 13.4               |
| 7-11 years  | 9.2                |
| 12-17 years | 9.6                |
| 18-24 years | 9.6                |
| 25-34 years | 10.3               |
| 35-44 years | 11.7               |
| 45-54 years | 13.5               |
| 55-64 years | 13.5               |
| 65-74 years | 13                 |
