| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 13.6               |
| 7-11 years  | 9.2                |
| 12-17 years | 9.9                |
| 18-24 years | 9.7                |
| 25-34 years | 10.2               |
| 35-44 years | 11.2               |
| 45-54 years | 13.6               |
| 55-64 years | 14.8               |
| 65-74 years | 12.8               |
