| Age                | Mean |
| ------------------ | ---- |
| 7-74 years         | 77.1 |
| 7-11 years         | 63.4 |
| 12-17 years        | 69.1 |
| 18-24 years        | 73.8 |
| 25-34 years        | 76.6 |
| 35-44 years        | 81.4 |
| 45-54 years        | 84.9 |
| 55-64 years        | 86.9 |
| 65-74 years        | 86   |
| Age-adjusted value | 77.2 |
