Age,Mean
"7-74 years",78.1
"7-11 years",63.6
"12-17 years",69.8
"18-24 years",76.8
"25-34 years",79.9
"35-44 years",83.6
"45-54 years",86.5
"55-64 years",85.2
"65-74 years",86
"Age-adjusted value",78.3
