| Age                | Mean |
| ------------------ | ---- |
| 7-74 years         | 76.1 |
| 7-11 years         | 63.1 |
| 12-17 years        | 68.1 |
| 18-24 years        | 71.2 |
| 25-34 years        | 73.4 |
| 35-44 years        | 79.4 |
| 45-54 years        | 83.3 |
| 55-64 years        | 88.4 |
| 65-74 years        | 86   |
| Age-adjusted value | 76.1 |
