"Stature interval",Mean
"77–78 centimeters",9.87
"79–80 centimeters",10.45
"81–82 centimeters",10.91
"83–84 centimeters",11.77
"85–86 centimeters",12.19
"87–88 centimeters",12.65
"89–90 centimeters",13.11
"91–92 centimeters",13.78
"93–94 centimeters",14.24
"95–96 centimeters",14.78
"97–98 centimeters",15.35
"99–100 centimeters",15.7
"101–102 centimeters",16.47
"103–104 centimeters",17.02
"105–106 centimeters",17.59
"107–108 centimeters",18.45
"109–110 centimeters",18.7
"111–112 centimeters",20.13
"113–114 centimeters",20.53
"115–116 centimeters",21.07
"117–118 centimeters",21.51
"119–120 centimeters",22.62
