| Stature | Mean  |
| ------- | ----- |
| 77–78   | 9.87  |
| 79–80   | 10.45 |
| 81–82   | 10.91 |
| 83–84   | 11.77 |
| 85–86   | 12.19 |
| 87–88   | 12.65 |
| 89–90   | 13.11 |
| 91–92   | 13.78 |
| 93–94   | 14.24 |
| 95–96   | 14.78 |
| 97–98   | 15.35 |
| 99–100  | 15.7  |
| 101–102 | 16.47 |
| 103–104 | 17.02 |
| 105–106 | 17.59 |
| 107–108 | 18.45 |
| 109–110 | 18.7  |
| 111–112 | 20.13 |
| 113–114 | 20.53 |
| 115–116 | 21.07 |
| 117–118 | 21.51 |
| 119–120 | 22.62 |
