Age,"Standard error"
"All ages",0.1
"2–11 months",0.1
"1–2 years",0.2
"3–5 years",0.2
"6–11 years",0.3
"12–15 years",0.4
"16–19 years",0.4
"20–29 years",0.2
"30–39 years",0.3
"40–49 years",0.4
"50–59 years",0.3
"60–69 years",0.3
"70–79 years",0.3
"80 years and over",0.4
