"Table 22. Births, by birthweight (grams): United States, 2010–2019, and by race and Hispanic origin of mother: United States, 2016–2019",
"Table 23. (PERCENT AGE) Births, by birthweight (grams) and by age and race and Hispanic origin of mother: United States, 2019",
,
,
"Birthweight (grams)","All births"
Number,3747540
"Under 15",1787
15–19,171674
20–24,704342
25–29,1078097
30–34,1089281
35–39,572598
40–44,120152
45–54,9609
,
"Birthweight (grams)","Not stated (number)"
Number,3668
"Under 15",2
15–19,146
20–24,653
25–29,1056
30–34,1040
35–39,609
40–44,149
45–54,13
,
,
Number,
,
"Birthweight (grams)",Number
"under 2,500",311245
"under 1,500",51733
"Less than 500",5189
500–999,18839
"1,000–1,499",27705
"1,500–1,999",61205
"2,000–2,499",198307
"2,500–2,999",713859
"3,000–3,499",1462658
"3,500–3,999",976609
"4,000–4,499",243153
"4,500–4,999",32694
"5,000 or more",3654
,
"All ages",
,
"Birthweight (grams)",
"under 2,500",8.31
"under 1,500",1.38
"Less than 500",0.14
500–999,0.5
"1,000–1,499",0.74
"1,500–1,999",1.63
"2,000–2,499",5.3
"2,500–2,999",19.07
"3,000–3,499",39.07
"3,500–3,999",26.09
"4,000–4,499",6.49
"4,500–4,999",0.87
"5,000 or more",0.1
,
"Under 15",
,
"Birthweight (grams)",
"under 2,500",12.32
"under 1,500",2.8
"Less than 500",0.34
500–999,1.29
"1,000–1,499",1.18
"1,500–1,999",2.63
"2,000–2,499",6.89
"2,500–2,999",26.83
"3,000–3,499",42.07
"3,500–3,999",16.19
"4,000–4,499",2.24
"4,500–4,999",0.34
"5,000 or more",*
,
15–19,
,
"Birthweight (grams)",
"under 2,500",9.98
"under 1,500",1.67
"Less than 500",0.17
500–999,0.65
"1,000–1,499",0.85
"1,500–1,999",1.84
"2,000–2,499",6.47
"2,500–2,999",24.12
"3,000–3,499",41.53
"3,500–3,999",20.37
"4,000–4,499",3.63
"4,500–4,999",0.35
"5,000 or more",0.03
,
20–24,
,
"Birthweight (grams)",
"under 2,500",8.63
"under 1,500",1.4
"Less than 500",0.15
500–999,0.53
"1,000–1,499",0.72
"1,500–1,999",1.61
"2,000–2,499",5.62
"2,500–2,999",21.22
"3,000–3,499",40.69
"3,500–3,999",23.79
"4,000–4,499",5.02
"4,500–4,999",0.59
"5,000 or more",0.07
,
25–29,
,
"Birthweight (grams)",
"under 2,500",7.78
"under 1,500",1.29
"Less than 500",0.14
500–999,0.47
"1,000–1,499",0.69
"1,500–1,999",1.51
"2,000–2,499",4.99
"2,500–2,999",18.77
"3,000–3,499",39.46
"3,500–3,999",26.54
"4,000–4,499",6.5
"4,500–4,999",0.86
"5,000 or more",0.09
,
30–34,
,
"Birthweight (grams)",
"under 2,500",7.75
"under 1,500",1.28
"Less than 500",0.13
500–999,0.46
"1,000–1,499",0.69
"1,500–1,999",1.54
"2,000–2,499",4.94
"2,500–2,999",17.63
"3,000–3,499",38.32
"3,500–3,999",27.76
"4,000–4,499",7.41
"4,500–4,999",1.02
"5,000 or more",0.11
,
35–39,
,
"Birthweight (grams)",
"under 2,500",8.84
"under 1,500",1.5
"Less than 500",0.14
500–999,0.53
"1,000–1,499",0.83
"1,500–1,999",1.84
"2,000–2,499",5.5
"2,500–2,999",18
"3,000–3,499",37.49
"3,500–3,999",26.98
"4,000–4,499",7.45
"4,500–4,999",1.11
"5,000 or more",0.14
,
40–44,
,
"Birthweight (grams)",
"under 2,500",10.66
"under 1,500",1.94
"Less than 500",0.16
500–999,0.69
"1,000–1,499",1.09
"1,500–1,999",2.3
"2,000–2,499",6.42
"2,500–2,999",19.76
"3,000–3,499",37.18
"3,500–3,999",24.73
"4,000–4,499",6.59
"4,500–4,999",0.96
"5,000 or more",0.12
,
45–54,
,
"Birthweight (grams)",
"under 2,500",17.58
"under 1,500",2.98
"Less than 500",0.2
500–999,1.03
"1,000–1,499",1.75
"1,500–1,999",4.31
"2,000–2,499",10.29
"2,500–2,999",21.85
"3,000–3,499",34.23
"3,500–3,999",20.31
"4,000–4,499",5.12
"4,500–4,999",0.83
"5,000 or more",0.07
