Age,3rd,5th,10th,25th,50th,75th,90th,95th,97th
"2–2.49 years",9.95,10.21,10.77,11.45,12.36,13.3,14.51,15.08,15.42
"2.5–2.99 years",11,11.23,11.79,12.47,13.38,14.52,15.65,16.44,17.1
"3.0–3.49 years",11.45,11.75,12.35,13.38,14.4,15.73,17.12,18.03,18.94
"3.5–3.99 years",12.4,12.59,13.27,14.17,15.31,16.75,17.92,18.95,19.63
"4.0–4.49 years",13.49,13.72,14.15,15.08,16.44,18.25,19.73,20.87,21.62
"4.5–4.99 years",13.49,13.95,14.63,15.76,17.24,18.8,20.65,21.89,24.45
"5.0–5.49 years",14.4,14.6,15.65,16.9,18.48,20.3,22.68,25.65,26.65
"5.5–5.99 years",15.65,16.1,16.85,17.9,19.8,22.11,25.25,28.1,28.92
"6.0–6.49 years",15.99,16.56,17.35,18.82,20.64,23.02,25.4,26.99,27.67
"6.5–6.99 years",16.67,17.12,17.92,19.62,21.55,23.81,27.67,29.48,30.84
"7.0–7.49 years",18.14,18.6,19.28,20.87,22.91,25.51,27.9,30.84,33.11
"7.5–7.99 years",18.94,19.28,20.18,21.89,24.27,26.99,30.39,32.66,35.15
"8.0–8.49 years",19.73,20.64,21.32,23.13,25.85,29.48,33.34,34.93,37.08
"8.5–8.99 years",21.09,21.77,22.57,24.38,27.67,30.73,36.51,41.05,42.41
"9.0–9.49 years",22.57,22.79,23.93,26.31,29.26,33.23,39.58,43.21,45.13
"9.5–9.99 years",22.79,23.81,25.4,27.56,30.84,35.38,44.45,47.85,50.35
"10.0–10.49 years",24.04,25.06,25.85,28.12,32.89,37.65,44.68,47.97,49.67
"10.5–10.99 years",25.4,26.31,27.9,30.62,34.25,39.01,45.81,49.33,53.3
"11.0–11.49 years",26.31,28.12,29.82,32.89,38.1,44,51.03,56.59,59.08
"11.5–11.99 years",29.03,29.48,30.62,34.93,39.92,47.4,57.15,63.5,66.34
"12.0–12.49 years",29.71,30.62,33.34,38.1,43.54,50.12,57.61,62.6,69.29
"12.5–12.99 years",32.2,33.45,36.29,40.6,46.49,53.75,61.23,66,70.08
"13.0–13.49 years",34.7,35.95,38.9,42.41,48.53,56.02,65.54,75.18,79.15
"13.5–13.99 years",36.17,36.97,39.01,44.57,50.12,56.36,66.22,72.12,78.7
"14.0–14.49 years",37.42,39.01,41.73,46.27,51.94,59.99,67.36,75.3,83.69
"14.5–14.99 years",40.26,40.94,43.32,47.51,52.96,59.99,69.51,75.07,78.92
"15.0–15.49 years",40.82,42.52,44.11,47.74,52.84,59.65,70.65,77.11,81.99
"15.5–15.99 years",42.86,44.45,46.27,49.56,56.25,60.89,66.79,76.54,82.78
"16.0–16.49 years",43.32,43.89,45.81,50.12,54.89,62.48,72.35,79.38,86.52
"16.5–16.99 years",43.2,44.11,45.59,50.69,55.45,61.8,71.21,78.7,88.22
"17.0–17.49 years",42.41,43.32,46.04,51.14,56.02,62.14,71.21,81.76,85.73
"17.5–17.99 years",43.77,45.25,49.33,52.84,57.61,63.62,72.69,84.71,91.29
"18.0–18.49 years",44.68,44.91,46.72,51.94,57.04,62.26,72.58,83.69,96.39
"18.5–18.99 years",42.64,44,47.74,52.73,56.47,63.16,69.74,78.02,79.49
"19.0–19.49 years",42.87,46.04,48.76,52.05,56.13,62.82,70.19,78.13,84.71
"19.5–19.99 years",48.99,49.21,50.8,54.2,57.95,64.86,77,80.85,88.68
