Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29105,270,3.7,201,10696,275,6,205,15771,268,4.7,200
"Under 6 years",6871,175,3.9,131,3145,202,5.6,156,3128,158,4.7,122
"6–11 years",3134,231,5.3,182,1446,238,8.9,186,1439,223,6.9,178
"12–19 years",3121,274,7.6,210,1345,277,9.6,214,1470,272,11.3,208
"20–59 years",10940,301,6,226,3329,325,10.2,242,6710,295,6.9,222
"60 years and over",5039,230,4.7,167,1431,221,8.2,162,3024,234,6.1,168
