| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.89           |
| 7-11 years  | 1.47           |
| 12-17 years | 1.11           |
| 18-24 years | 1.29           |
| 25-34 years | 1.27           |
| 35-44 years | 1.69           |
| 45-54 years | 2.47           |
| 55-64 years | 2.43           |
| 65-74 years | 1.84           |
