| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 1.09           |
| 7-11 years  | 1.73           |
| 12-17 years | 0.76           |
| 18-24 years | 0.9            |
| 25-34 years | 1.09           |
| 35-44 years | 1.05           |
| 45-54 years | 2.88           |
| 55-64 years | 1.67           |
| 65-74 years | 1.65           |
