| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 1.38           |
| 7-11 years  | 2.2            |
| 12-17 years | 0.82           |
| 18-24 years | 1.06           |
| 25-34 years | 1.01           |
| 35-44 years | 1.42           |
| 45-54 years | 3.42           |
| 55-64 years | 2.22           |
| 65-74 years | 2.08           |
