Age,"Standard error of the mean"
"7-74 years",0.37
"7-11 years",0.44
"12-17 years",0.52
"18-24 years",0.72
"25-34 years",0.58
"35-44 years",0.74
"45-54 years",0.59
"55-64 years",0.53
"65-74 years",1.21
