| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.51           |
| 7-11 years  | 0.56           |
| 12-17 years | 0.51           |
| 18-24 years | 0.91           |
| 25-34 years | 0.67           |
| 35-44 years | 0.66           |
| 45-54 years | 1.16           |
| 55-64 years | 1.09           |
| 65-74 years | 1.56           |
