| Age               | Median |
| ----------------- | ------ |
| All ages          | 85     |
| 2–11 months       | 22     |
| 1–2 years         | 48     |
| 3–5 years         | 55     |
| 6–11 years        | 71     |
| 12–15 years       | 82     |
| 16–19 years       | 103    |
| 20–29 years       | 101    |
| 30–39 years       | 98     |
| 40–49 years       | 94     |
| 50–59 years       | 92     |
| 60–69 years       | 79     |
| 70–79 years       | 70     |
| 80 years and over | 66     |
