Age,Median
"All ages",70
"2–11 months",21
"1–2 years",46
"3–5 years",53
"6–11 years",66
"12–15 years",72
"16–19 years",80
"20–29 years",80
"30–39 years",81
"40–49 years",77
"50–59 years",73
"60–69 years",66
"70–79 years",61
"80 years and over",55
