| Age               | Median |
| ----------------- | ------ |
| All ages          | 3554   |
| 2–11 months       | 333    |
| 1–2 years         | 1949   |
| 3–5 years         | 2522   |
| 6–11 years        | 3049   |
| 12–15 years       | 3566   |
| 16–19 years       | 4669   |
| 20–29 years       | 4312   |
| 30–39 years       | 4162   |
| 40–49 years       | 3942   |
| 50–59 years       | 3658   |
| 60–69 years       | 3332   |
| 70–79 years       | 3010   |
| 80 years and over | 2734   |
