Age,Median
"All ages",3002
"2–11 months",321
"1–2 years",1865
"3–5 years",2381
"6–11 years",2885
"12–15 years",3210
"16–19 years",3568
"20–29 years",3440
"30–39 years",3362
"40–49 years",3237
"50–59 years",3000
"60–69 years",2752
"70–79 years",2555
"80 years and over",2370
