Age,Median
"All ages",2590
"2–11 months",302
"1–2 years",1758
"3–5 years",2277
"6–11 years",2728
"12–15 years",2746
"16–19 years",2840
"20–29 years",2912
"30–39 years",2833
"40–49 years",2730
"50–59 years",2485
"60–69 years",2392
"70–79 years",2254
"80 years and over",2214
