| Age               | Mean |
| ----------------- | ---- |
| All ages          | 11.6 |
| 2–11 months       | 15.9 |
| 1–2 years         | 13.4 |
| 3–5 years         | 12.3 |
| 6–11 years        | 12.5 |
| 12–15 years       | 11.8 |
| 16–19 years       | 11.9 |
| 20–29 years       | 11.4 |
| 30–39 years       | 11.6 |
| 40–49 years       | 11.4 |
| 50–59 years       | 11.2 |
| 60–69 years       | 10.7 |
| 70–79 years       | 10.7 |
| 80 years and over | 10.6 |
