Age,Mean
"All ages",11.5
"2–11 months",16.1
"1–2 years",13.7
"3–5 years",12.4
"6–11 years",12.3
"12–15 years",11.6
"16–19 years",11.8
"20–29 years",11.2
"30–39 years",11.5
"40–49 years",11.5
"50–59 years",11
"60–69 years",10.5
"70–79 years",10.4
"80 years and over",10.3
