Age,"Standard deviation"
"7-74 years",13.2
"7-11 years",9.8
"12-17 years",9.7
"18-24 years",10.3
"25-34 years",10.2
"35-44 years",12.5
"45-54 years",12.1
"55-64 years",11.2
"65-74 years",12.9
