| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 13.7               |
| 7-11 years  | 10                 |
| 12-17 years | 9.5                |
| 18-24 years | 10.7               |
| 25-34 years | 10.6               |
| 35-44 years | 13.2               |
| 45-54 years | 13.5               |
| 55-64 years | 12.7               |
| 65-74 years | 12.6               |
