| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 13.5               |
| 7-11 years  | 10                 |
| 12-17 years | 9.6                |
| 18-24 years | 10.8               |
| 25-34 years | 10.8               |
| 35-44 years | 13                 |
| 45-54 years | 13.1               |
| 55-64 years | 12                 |
| 65-74 years | 12.8               |
