| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.38           |
| 7-11 years  | 0.71           |
| 12-17 years | 0.72           |
| 18-24 years | 0.49           |
| 25-34 years | 0.4            |
| 35-44 years | 0.7            |
| 45-54 years | 1.05           |
| 55-64 years | 1              |
| 65-74 years | 0.6            |
