Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",10.2,11,11.6,12.5,15,18.9,21.8,23.9,27.9
"12–15 years",14.8,16.3,17.9,20.2,25.3,30.8,35.6,38.3,43.9
"16–19 years",24.4,25.7,26.8,28.7,33.1,39.6,44.9,47.8,53.6
"20–39 years",27.5,30,31.4,34.1,39.4,46.3,51.3,55,61.9
"40–59 years",31,33.4,35.2,38.2,43.6,50.7,54.9,57.4,63.9
"60–79 years",30.5,32.9,35,38,43.6,50.5,54.3,57.5,62.4
"80 years and older",28,30.2,31.9,34,38.2,43.1,46.7,49,52.7
"20 years and older (crude)",29.1,31.5,33.1,36,41.8,48.9,53.5,56.5,62.7
