"Age group (years)",Number
"All ages",161657324
"Under 1",1935117
1–4,8074090
5–9,10322762
10–14,10618261
15–19,10745607
20–24,11064752
25–34,23359180
35–44,20792080
45–54,20171966
55–64,20499219
"65 and over",24074290
65–74,14699579
75–84,6998223
"85 and over",2376488
