Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29105,9.2,0.19,7.1,10696,8.4,0.21,6.3,15771,9.5,0.21,7.4
"Under 6 years",6871,6.4,0.12,5.1,3145,6.8,0.14,5.3,3128,6.3,0.16,5
"6–11 years",3134,7.5,0.22,6.1,1446,7.4,0.23,6.1,1439,7.6,0.29,6.2
"12–19 years",3121,10.1,0.74,7.8,1345,9.1,0.28,7.1,1470,10.3,1,7.9
"20–59 years",10940,9.9,0.23,7.9,3329,9.2,0.43,6.8,6710,10.1,0.22,8.1
"60 years and over",5039,8.6,0.24,6.3,1431,7.8,0.69,5.4,3024,8.9,0.26,6.6
