Age,"Standard deviation"
"2–2.49 years",3.66
"2.5–2.99 years",3.6
"3.0–3.49 years",4.03
"3.5–3.99 years",4.05
"4.0–4.49 years",4.43
"4.5–4.99 years",4.63
"5.0–5.49 years",4.92
"5.5–5.99 years",4.92
"6.0–6.49 years",5.45
"6.5–6.99 years",5.49
"7.0–7.49 years",5.62
"7.5–7.99 years",5.9
"8.0–8.49 years",5.76
"8.5–8.99 years",5.93
"9.0–9.49 years",6.22
"9.5–9.99 years",6.51
"10.0–10.49 years",7.67
"10.5–10.99 years",6.61
"11.0–11.49 years",6.87
"11.5–11.99 years",7.31
"12.0–12.49 years",8.05
"12.5–12.99 years",7.81
"13.0–13.49 years",8.47
"13.5–13.99 years",8.88
"14.0–14.49 years",8.53
"14.5–14.99 years",7.79
"15.0–15.49 years",7.67
"15.5–15.99 years",7.47
"16.0–16.49 years",6.78
"16.5–16.99 years",7.46
"17.0–17.49 years",7.92
"17.5–17.99 years",6.88
"18.0–18.49 years",6.87
"18.5–18.99 years",7.01
"19.0–19.49 years",6.3
"19.5–19.99 years",6.36
