| Age               | Mean |
| ----------------- | ---- |
| All ages          | 33.6 |
| 2–11 months       | 37.6 |
| 1–2 years         | 33.3 |
| 3–5 years         | 32.8 |
| 6–11 years        | 33.7 |
| 12–15 years       | 33.5 |
| 16–19 years       | 33.9 |
| 20–29 years       | 33.2 |
| 30–39 years       | 34.3 |
| 40–49 years       | 34.4 |
| 50–59 years       | 33.6 |
| 60–69 years       | 32.3 |
| 70–79 years       | 32.3 |
| 80 years and over | 31.6 |
