Age,Rate
"15 years and over",1352.3
"15–24 years",62.2
"25–34 years",74
"35–44 years",154.4
"45–54 years",381.8
"55–64 years",951.5
"65–74 years",2351.4
"75 years and older",8021.4
"Age-adjusted rate",1251.1
