Age,"Ever maried"
"15 years and over",1398.6
"15–24 years",106.2
"25–34 years",100.7
"35–44 years",191.7
"45–54 years",478.1
"55–64 years",1175.3
"65–74 years",2902.7
"75 years and older",8751.8
"Age-adjusted rate",1440.8
