| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 1.4  |
| 12–15              | 2.5  |
| 16–19              | 3.5  |
| 20–39              | 3.9  |
| 40–59              | 4    |
| 60–79              | 3.5  |
| 80+                | 2.9  |
| 20+                | 3.8  |
| 20+ (age adjusted) | 3.8  |
