| Age    | Sample size |
| ------ | ----------- |
| 3m–5m  | 289         |
| 6m–8m  | 319         |
| 9m–11m | 275         |
| 1      | 651         |
| 2      | 574         |
| 3      | 483         |
| 4      | 542         |
| 5      | 495         |
| 6      | 279         |
| 7      | 268         |
| 8      | 261         |
| 9      | 276         |
| 10     | 294         |
| 11     | 281         |
| 12     | 202         |
| 13     | 181         |
| 14     | 185         |
| 15     | 183         |
| 16     | 191         |
| 17     | 193         |
| 18     | 168         |
| 19     | 161         |
| 20+    | 7622        |
| 20–29  | 1585        |
| 30–39  | 1435        |
| 40–49  | 1178        |
| 50–59  | 824         |
| 60–69  | 1126        |
| 70–79  | 832         |
| 80+    | 642         |
