Age,"Sample size"
"3–5 months",309
"6–8 months",262
"9–11 months",315
"1 year",627
"2 years",556
"3 years",561
"4 years",527
"5 years",555
"6 years",273
"7 years",270
"8 years",245
"9 years",272
"10 years",255
"11 years",268
"12 years",233
"13 years",217
"14 years",218
"15 years",189
"16 years",204
"17 years",195
"18 years",170
"19 years",168
"20 years and older",8348
"20–29 years",1623
"30–39 years",1707
"40–49 years",1300
"60–59 years",970
"60–69 years",1122
"70–79 years",914
"80 years and older",712
