| Age    | Sample size |
| ------ | ----------- |
| 3m–5m  | 309         |
| 6m–8m  | 262         |
| 9m–11m | 315         |
| 1      | 627         |
| 2      | 556         |
| 3      | 561         |
| 4      | 527         |
| 5      | 555         |
| 6      | 273         |
| 7      | 270         |
| 8      | 245         |
| 9      | 272         |
| 10     | 255         |
| 11     | 268         |
| 12     | 233         |
| 13     | 217         |
| 14     | 218         |
| 15     | 189         |
| 16     | 204         |
| 17     | 195         |
| 18     | 170         |
| 19     | 168         |
| 20+    | 8348        |
| 20–29  | 1623        |
| 30–39  | 1707        |
| 40–49  | 1300        |
| 60–59  | 970         |
| 60–69  | 1122        |
| 70–79  | 914         |
| 80+    | 712         |
