Age,"Sample size"
"3–5 months",289
"6–8 months",319
"9–11 months",275
"1 year",651
"2 years",574
"3 years",483
"4 years",542
"5 years",495
"6 years",279
"7 years",268
"8 years",261
"9 years",276
"10 years",294
"11 years",281
"12 years",202
"13 years",181
"14 years",185
"15 years",183
"16 years",191
"17 years",193
"18 years",168
"19 years",161
"20 years and older",7622
"20–29 years",1585
"30–39 years",1435
"40–49 years",1178
"50–59 years",824
"60–69 years",1126
"70–79 years",832
"80 years and older",642
