Age,Median
"All ages",10
"2–11 months",45.4
"1–2 years",19.8
"3–5 years",17.7
"6–11 years",17
"12–15 years",13.1
"16–19 years",9.9
"20–29 years",7.2
"30–39 years",8.8
"40–49 years",7.2
"50–59 years",8.1
"60–69 years",9.4
"70–79 years",10.6
"80 years and over",11.2
