Age,Median
"All ages",11.8
"2–11 months",45.4
"1–2 years",20.7
"3–5 years",18.6
"6–11 years",19.5
"12–15 years",15.5
"16–19 years",12.4
"20–29 years",9
"30–39 years",9.1
"40–49 years",8.7
"50–59 years",9
"60–69 years",10.5
"70–79 years",11.2
"80 years and over",12
