| Age   | 5th   | 10th  | 15th   | 25th   | 50th   | 75th   | 85th   | 90th   | 95th   |
| ----- | ----- | ----- | ------ | ------ | ------ | ------ | ------ | ------ | ------ |
| 8–11  | 59.97 | 65.29 | 69.18  | 73.8   | 84.31  | 97.3   | 104.63 | 109.74 | 117.98 |
| 12–15 | 84.2  | 89.12 | 92.91  | 98.9   | 109.9  | 122.36 | 130.45 | 136.27 | 146.75 |
| 16–19 | 92.34 | 96.95 | 99.94  | 105.66 | 116.24 | 130.53 | 139.2  | 146.54 | 157    |
| 20–29 | 93.02 | 98.29 | 102.29 | 107.87 | 120.65 | 136.1  | 147.35 | 153.77 | 163.81 |
| 30–39 | 92.27 | 97.81 | 101.43 | 108.33 | 124.79 | 143.09 | 151.9  | 160.06 | 172.84 |
| 40–49 | 90.57 | 96.27 | 100.54 | 109.27 | 127.68 | 144.52 | 154.1  | 160.77 | 171.46 |
| 50–59 | 91.21 | 97.4  | 102.29 | 111    | 128.64 | 145.48 | 154.36 | 160.82 | 169.8  |
| 60–69 | 84.65 | 93.54 | 98.08  | 107    | 125.08 | 140.8  | 150.27 | 156.69 | 165.33 |
| 70–79 | 74.65 | 83.46 | 89.31  | 98.93  | 113.79 | 131.9  | 140.2  | 146.15 | 155.09 |
| 80+   | 65.94 | 72.73 | 76.19  | 83.32  | 99.46  | 117.58 | 126.2  | 132.68 | 141.96 |
