Age,Median
"All ages",26
"2–11 months",8
"1–2 years",16
"3–5 years",20
"6–11 years",26
"12–15 years",30
"16–19 years",33
"20–29 years",31
"30–39 years",31
"40–49 years",28
"50–59 years",26
"60–69 years",23
"70–79 years",20
"80 years and over",19
