Age,Mean
"3–5 months",14
"6–8 months",14.8
"9–11 months",15.2
"1 year",15.9
"2 years",16.3
"3 years",17
"4 years",17.6
"5 years",18.1
"6 years",18.7
"7 years",19.9
"8 years",20.6
"9 years",22.1
"10 years",22.6
"11 years",23.7
"12 years",24.5
"13 years",26.3
"14 years",26.9
"15 years",26.7
"16 years",27.3
"17 years",27.7
"18 years",27.4
"19 years",28.2
"20 years and older",30.7
"20–29 years",28.9
"30–39 years",30.7
"40–49 years",31.4
"60–59 years",32.5
"60–69 years",31.7
"70–79 years",30.5
"80 years and older",28.5
