| Age    | Mean |
| ------ | ---- |
| 3m–5m  | 14.6 |
| 6m–8m  | 15.3 |
| 9m–11m | 15.6 |
| 1      | 16.1 |
| 2      | 16.5 |
| 3      | 16.9 |
| 4      | 17.3 |
| 5      | 17.9 |
| 6      | 18.9 |
| 7      | 19.3 |
| 8      | 20.4 |
| 9      | 21.7 |
| 10     | 22.6 |
| 11     | 23.6 |
| 12     | 25.2 |
| 13     | 25.7 |
| 14     | 28.1 |
| 15     | 28.5 |
| 16     | 29.2 |
| 17     | 30.7 |
| 18     | 30.1 |
| 19     | 31.5 |
| 20+    | 33   |
| 20–29  | 32.4 |
| 30–39  | 33.4 |
| 40–49  | 33.7 |
| 50–59  | 33.7 |
| 60–69  | 32.8 |
| 70–79  | 31.5 |
| 80+    | 29.5 |
