Age,Mean
"3–5 months",14.6
"6–8 months",15.3
"9–11 months",15.6
"1 year",16.1
"2 years",16.5
"3 years",16.9
"4 years",17.3
"5 years",17.9
"6 years",18.9
"7 years",19.3
"8 years",20.4
"9 years",21.7
"10 years",22.6
"11 years",23.6
"12 years",25.2
"13 years",25.7
"14 years",28.1
"15 years",28.5
"16 years",29.2
"17 years",30.7
"18 years",30.1
"19 years",31.5
"20 years and older",33
"20–29 years",32.4
"30–39 years",33.4
"40–49 years",33.7
"50–59 years",33.7
"60–69 years",32.8
"70–79 years",31.5
"80 years and older",29.5
