| Age    | Sample size |
| ------ | ----------- |
| 3m–5m  | 309         |
| 6m–8m  | 261         |
| 9m–11m | 316         |
| 1      | 626         |
| 2      | 545         |
| 3      | 554         |
| 4      | 529         |
| 5      | 554         |
| 6      | 273         |
| 7      | 269         |
| 8      | 244         |
| 9      | 270         |
| 10     | 255         |
| 11     | 268         |
| 12     | 233         |
| 13     | 218         |
| 14     | 216         |
| 15     | 188         |
| 16     | 202         |
| 17     | 191         |
| 18     | 165         |
| 19     | 167         |
| 20+    | 8065        |
| 20–29  | 1579        |
| 30–39  | 1623        |
| 40–49  | 1237        |
| 50–59  | 929         |
| 60–69  | 1090        |
| 70–79  | 902         |
| 80+    | 705         |
