"Cause of death (males, 1–4 years)","Death rate (per 100000)"
"All causes",25.3
"Accidents (unintentional injuries)",8.3
"Congenital malformations, deformations and chromosomal abnormalities",2.6
"Assault (homicide)",2
"Malignant neoplasms",1.9
"Diseases of heart",0.9
"Influenza and pneumonia",0.8
"Cerebrovascular diseases",0.4
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",0.4
"Certain conditions originating in the perinatal period",0.3
Septicemia,0.3
"All other causes",7.5
