Age,"Standard error of the mean"
"7-17 years (education : head of the household)",0.52
"7-11 years (education : head of the household)",0.9
"12-17 years (education : head of the household)",0.56
"18-74 years",0.37
"18-24 years",0.58
"25-34 years",0.51
"35-44 years",0.72
"45-54 years",1.1
"55-64 years",1.08
"65-74 years",0.84
