Age,Rate
"All ages",0.2
"Under 1 year",*
"1-4 years",*
"5-9 years",*
"10-14 years",*
"15-19 years",0.3
"20-24 years",0.5
"25-29 years",0.5
"30-34 years",0.3
"35-39 years",0.3
"40-44 years",0.2
"45-49 years",0.3
"50-54 years",*
"55-59 years",*
"60-64 years",*
"65-69 years",*
"70-74 years",*
"75-79 years",*
"80-84 years",*
"85 years and over",*
"Age-adjusted",0.2
