Age,Mean
"All ages",50.3
"2–11 months",*0.1
"1–2 years",4.6
"3–5 years",6.9
"6–11 years",15.4
"12–15 years",19.3
"16–19 years",31.5
"20–29 years",45.2
"30–39 years",74.5
"40–49 years",93.5
"50–59 years",72.6
"60–69 years",56.9
"70–79 years",30.9
"80 years and over",21.8
