Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",2.1,2.1,2.2,2.3,2.5,2.7,2.8,2.9,3
"12–15 years",2.3,2.4,2.4,2.5,2.7,2.9,3,3.1,3.2
"16–19 years",2.4,2.5,2.5,2.6,2.8,3,3.1,3.2,3.3
"20–39 years",2.4,2.5,2.5,2.6,2.8,3,3.1,3.2,3.4
"40–59 years",2.4,2.5,2.5,2.6,2.8,3,3.1,3.2,3.3
"60–79 years",2.3,2.4,2.5,2.6,2.7,2.9,3.1,3.1,3.3
"80 years and older",2.2,2.3,2.3,2.4,2.6,2.8,2.9,3,3.1
"20 years and older (crude)",2.4,2.4,2.5,2.6,2.8,3,3.1,3.2,3.4
