| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 0.077          |
| 12–15 | 0.09           |
| 16–19 | 0.089          |
| 20–29 | 0.094          |
| 30–39 | 0.105          |
| 40–49 | 0.115          |
| 50–59 | 0.122          |
| 60–69 | 0.133          |
| 70–79 | 0.121          |
| 80+   | 0.128          |
