Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",0.8,0.9,1,1.1,1.3,1.6,1.8,1.9,2.1
"12–15 years",1.4,1.6,1.6,1.7,2,2.2,2.4,2.5,2.8
"16–19 years",1.6,1.7,1.8,1.9,2.1,2.4,2.6,2.8,3
"20–39 years",1.7,1.8,1.9,2,2.3,2.6,2.8,3,3.3
"40–59 years",1.7,1.8,1.9,2,2.3,2.7,2.9,3,3.3
"60–79 years",1.6,1.7,1.7,1.9,2.1,2.4,2.6,2.8,3
"80 years and older",1.4,1.5,1.5,1.6,1.8,2.1,2.3,2.4,2.5
"20 years and older (crude)",1.6,1.7,1.8,2,2.2,2.6,2.8,3,3.2
