Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",29103,417,15.3,37,10696,298,25.2,27,15770,454,18.4,41
"Under 6 years",6871,250,16.6,18,3145,206,21.5,18,3128,271,21.7,18
"6–11 years",3134,249,29.7,23,1446,198,32.6,27,1439,275,39,22
"12–19 years",3119,299,35.4,23,1345,186,35.7,26,1469,348,47.6,22
"20–59 years",10940,440,21.9,45,3329,337,41.8,30,6710,465,27.4,47
"60 years and over",5039,608,31.2,59,1431,477,65.7,30,3024,653,32.3,71
